"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccdc7a",0.313453171243547,-0.00500678118700936,0,0.001,1
"S100a16",0.313453171243462,-0.00500805167535951,0,0.001,1
"Gm15978",0.313453171243678,-0.00500805167535951,0,0.001,1
"Gm9530",0.837015213875326,-0.00502358528231605,0.003,0.005,1
"Jade3",0.732710188940051,-0.0050336390459234,0.008,0.008,1
"Ccr7",0.313453171243586,-0.00506459870497337,0,0.001,1
"Dntt",0.313453171243586,-0.00506459870497337,0,0.001,1
"Gm28935",0.313453171243586,-0.00506459870497337,0,0.001,1
"Lrrc75b",0.313453171243586,-0.00506459870497337,0,0.001,1
"Sema4f",0.313453171243586,-0.00506459870497337,0,0.001,1
"Mblac2",0.439918300520616,-0.00506491787486842,0.024,0.022,1
"Med4",0.0389391347593188,-0.00506884032181137,0.102,0.089,1
"Ino80b",0.141625261660525,-0.00506984829471024,0.19,0.172,1
"Rec8",0.119927207576892,-0.00507124273831299,0,0.003,1
"Bfsp1",0.478496691795929,-0.00507590447814537,0.001,0.003,1
"4930512B01Rik",0.478496691796156,-0.00507874636700835,0.001,0.003,1
"A330048O09Rik",0.478496691796001,-0.00508236351931276,0.001,0.003,1
"Pfn4",0.390919924527302,-0.00508538200245744,0.001,0.004,1
"D030051J21Rik",0.477514600604087,-0.0050878609269514,0.001,0.004,1
"Pla2g6",0.351736135472583,-0.00509527459094594,0.027,0.025,1
"Gm13274",0.313453171243457,-0.00510125285975438,0,0.001,1
"Ccdc58",0.0923501094569029,-0.0051121904560513,0.09,0.071,1
"Tmsb15b2",0.000432720234128763,-0.00511939871868988,0.063,0.048,1
"Creb3l3",0.818095725724373,-0.00511983648389062,0.003,0.005,1
"Scube1",0.436004442745136,-0.00513203019911914,0.012,0.011,1
"5830432E09Rik",0.979472997375677,-0.00513360903527593,0.022,0.023,1
"Hist1h2bm",0.9720458707693,-0.00513677560707954,0.031,0.033,1
"Pdlim1",0.313453171243422,-0.00513844143907787,0,0.001,1
"Gm44957",0.47849669179587,-0.00513902244523498,0.001,0.003,1
"Gm28875",0.478496691796144,-0.00514241641859532,0.001,0.003,1
"4931440F15Rik",0.89668110466744,-0.00514395478860624,0.003,0.004,1
"Sec16b",0.664236636552925,-0.00515427227808108,0.006,0.005,1
"Tes3-ps",0.821657717401673,-0.0051568921228357,0.002,0.004,1
"Gm35031",0.119927207576869,-0.00516833742362461,0,0.003,1
"Bmt2",0.00129345890152661,-0.00517295304130488,0.127,0.098,1
"Gm49586",0.478496691796147,-0.00517448362377378,0.001,0.003,1
"Kcnn4",0.626787050115636,-0.00517759374434934,0.006,0.005,1
"Cd1d1",0.440648236924396,-0.00518538878025912,0.044,0.041,1
"Gm47792",0.119927207576906,-0.00518829303471217,0,0.003,1
"AC168977.1",0.31345317124355,-0.00519525220432136,0,0.001,1
"Gm48081",0.478496691795957,-0.00520055599079977,0.001,0.003,1
"Cecr2",0.803155862799504,-0.00521040971035448,0.003,0.004,1
"Baz1b",0.321917231463875,-0.00521551611938997,0.212,0.197,1
